SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: 2012ht 
IAUC: 2012ht
RA:   163.344790 deg
DECL:    16.776360 deg 
RA_HOST:   163.349920
DEC_HOST:    16.772440
FILTERS: BNUVWX
REDSHIFT_HELIO: 0.003516 +- 2.1e-05 
REDSHIFT_CMB: 0.004646 +- 2.1e-05 
VPEC: -0.2973 +- 250.0
MWEBV: 0.0254000  MW E(B-V)
SEARCH_PEAKMJD: 56292.5
NOBS: 91
NVAR:   7
VARLIST:  MJD  FLT FIELD  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56282.8 U NULL 37844.3 2270.66 16.0550 0.0600000
OBS: 56287.8 U NULL 454569. 18637.3 13.3560 0.0410000
OBS: 56289.9 U NULL 618871. 24754.8 13.0210 0.0400000
OBS: 56291.1 U NULL 669884. 26795.4 12.9350 0.0400000
OBS: 56292.5 U NULL 679830. 27193.2 12.9190 0.0400000
OBS: 56295.9 U NULL 612068. 24482.7 13.0330 0.0400000
OBS: 56297.8 U NULL 521435. 20857.4 13.2070 0.0400000
OBS: 56299.8 U NULL 414191. 17396.0 13.4570 0.0420000
OBS: 56301.6 U NULL 401791. 14062.7 13.4900 0.0350000
OBS: 56301.6 U NULL 349945. 11198.2 13.6400 0.0320000
OBS: 56301.7 U NULL 339782. 14270.8 13.6720 0.0420000
OBS: 56303.1 U NULL 294578. 12666.8 13.8270 0.0430000
OBS: 56303.8 U NULL 276440. 11334.0 13.8960 0.0410000
OBS: 56303.8 U NULL 267178. 9084.04 13.9330 0.0340000
OBS: 56305.6 U NULL 213993. 9415.70 14.1740 0.0440000
OBS: 56305.9 U NULL 175550. 8777.48 14.3890 0.0500000
OBS: 56306.0 U NULL 207205. 7459.38 14.2090 0.0360000
OBS: 56314.5 U NULL 68108.3 4222.71 15.4170 0.0620000
OBS: 56320.1 U NULL 41763.8 2923.47 15.9480 0.0700000
OBS: 56326.4 U NULL 27441.0 2277.60 16.4040 0.0830000
OBS: 56332.6 U NULL 22182.0 1863.29 16.6350 0.0840000
OBS: 56338.7 U NULL 18197.0 1528.55 16.8500 0.0840000
OBS: 56344.8 U NULL 18518.3 1555.54 16.8310 0.0840000
OBS: 56350.7 U NULL 14335.1 1390.50 17.1090 0.0970000
OBS: 56357.6 U NULL 12682.4 1306.28 17.2420 0.103000
OBS: 56362.7 U NULL 10009.2 1491.37 17.4990 0.149000
OBS: 56368.6 U NULL 8356.03 1002.72 17.6950 0.120000
