SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: iPTF14atg 
IAUC: UNKNOWN
RA:   193.186667 deg
DECL:    26.470278 deg 
RA_HOST:   193.183620
DEC_HOST:    26.470420
MWEBV: 0.010300 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.021294 +- 8e-06 
REDSHIFT_CMB: 0.0222376 +- 8e-06 
VPEC: 463.3244 +- 250.0
HOSTGAL_LOGMASS: 9.3088 +- 0.002
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56797.4
NOBS: 68
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56783.7 X NULL 3366.67 390.703 18.682 0.126
OBS: 56785.6 X NULL 1158.78 268.953 19.84 0.252
OBS: 56790.1 X NULL 2350.72 290.122 19.072 0.134
OBS: 56792.3 X NULL 4250.11 716.352 18.429 0.183
OBS: 56796 X NULL 5350.57 640.647 18.179 0.13
OBS: 56797.4 X NULL 4608.93 479.683 18.341 0.113
OBS: 56798.7 X NULL 4425.88 481.014 18.385 0.118
OBS: 56802.5 X NULL 1798.04 273.25 19.363 0.165
OBS: 56804.7 X NULL 1429.55 314.683 19.612 0.239
OBS: 56807.6 X NULL 792.866 215.426 20.252 0.295
OBS: 56783.7 N NULL 3144.85 318.617 18.756 0.11
OBS: 56785.6 N NULL 1589.28 291.292 19.497 0.199
OBS: 56790.1 N NULL 3287 408.705 18.708 0.135
OBS: 56792.3 N NULL 5495.41 809.833 18.15 0.16
OBS: 56796 N NULL 5786.29 490.302 18.094 0.092
OBS: 56797.4 N NULL 5970.35 527.894 18.06 0.096
OBS: 56798.7 N NULL 5325.99 529.785 18.184 0.108
OBS: 56802.6 N NULL 2826.18 325.376 18.872 0.125
OBS: 56804.8 N NULL 1506.61 309.443 19.555 0.223
OBS: 56807.6 N NULL 797.995 206.529 20.245 0.281
OBS: 56783.7 W NULL 3677.9 569.095 18.586 0.168
OBS: 56785.6 W NULL 3033.89 539.303 18.795 0.193
OBS: 56790 W NULL 5561.6 614.691 18.137 0.12
OBS: 56792.2 W NULL 6823.39 1150.08 17.915 0.183
OBS: 56796 W NULL 11209.9 1156.36 17.376 0.112
OBS: 56797.4 W NULL 9763.38 890.248 17.526 0.099
OBS: 56798.7 W NULL 9532.35 904.301 17.552 0.103
OBS: 56802.5 W NULL 4777.49 572.03 18.302 0.13
OBS: 56804.7 W NULL 4246.2 672.673 18.43 0.172
OBS: 56807.6 W NULL 3050.7 491.715 18.789 0.175
OBS: 56815.5 W NULL 1367.73 399.333 19.66 0.317
OBS: 56783.7 U NULL 3042.29 745.345 18.792 0.266
OBS: 56785.6 U NULL 3577.67 866.625 18.616 0.263
OBS: 56790.1 U NULL 10924.5 1036.37 17.404 0.103
OBS: 56792.3 U NULL 14086.4 2010.98 17.128 0.155
OBS: 56796 U NULL 22677.8 1963.38 16.611 0.094
OBS: 56797.4 U NULL 23702.8 1855.64 16.563 0.085
OBS: 56798.7 U NULL 23120.6 1873.95 16.59 0.088
OBS: 56802.5 U NULL 16795.8 1423.19 16.937 0.092
OBS: 56804.7 U NULL 13664.7 1497.69 17.161 0.119
OBS: 56807.6 U NULL 8417.83 1062.18 17.687 0.137
OBS: 56815.5 U NULL 2528.13 754.433 18.993 0.324
OBS: 56783.7 B NULL 2195.84 580.44 19.146 0.287
OBS: 56785.6 B NULL 2112.52 636.244 19.188 0.327
OBS: 56790.1 B NULL 6842.27 718.424 17.912 0.114
OBS: 56792.3 B NULL 9790.39 1325.54 17.523 0.147
OBS: 56796 B NULL 11555.8 1117.54 17.343 0.105
OBS: 56797.4 B NULL 12705.7 1076.62 17.24 0.092
OBS: 56798.7 B NULL 12989.7 1124.61 17.216 0.094
OBS: 56802.5 B NULL 12011.6 1006.74 17.301 0.091
OBS: 56804.7 B NULL 11956.4 1145.27 17.306 0.104
OBS: 56807.6 B NULL 7855.97 853.803 17.762 0.118
OBS: 56815.5 B NULL 3335.8 639.056 18.692 0.208
OBS: 56825.5 B NULL 1839.92 574.481 19.338 0.339
OBS: 56829.4 B NULL 2053.05 584.298 19.219 0.309
OBS: 56833.4 B NULL 1973.33 610.682 19.262 0.336
OBS: 56790.1 V NULL 8961.9 1461 17.619 0.177
OBS: 56792.3 V NULL 14900.5 2868.28 17.067 0.209
OBS: 56796 V NULL 18113.4 2318.95 16.855 0.139
OBS: 56797.4 V NULL 15761.6 1959.79 17.006 0.135
OBS: 56798.7 V NULL 17187 2073.71 16.912 0.131
OBS: 56802.6 V NULL 18063.4 1929.89 16.858 0.116
OBS: 56804.8 V NULL 17108 2237.51 16.917 0.142
OBS: 56807.6 V NULL 15951.4 1895.25 16.993 0.129
OBS: 56815.5 V NULL 9532.35 1597.89 17.552 0.182
OBS: 56825.6 V NULL 5475.2 1699.44 18.154 0.337
OBS: 56829.4 V NULL 6070.16 1431.25 18.042 0.256
OBS: 56833.4 V NULL 4821.7 1478.84 18.292 0.333
END:
