SURVEY: SWIFT
PHOTOMETRY_VERSION: SWIFTNEW
SNTYPE: 1
SNID: iPTF14bdn 
IAUC: UNKNOWN
RA:   202.687000 deg
DECL:    32.761780 deg 
RA_HOST:   202.686750
DEC_HOST:    32.760780
MWEBV: 0.010000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.015579 +- 7e-06 
REDSHIFT_CMB: 0.0163547 +- 7e-06 
VPEC: 96.3614 +- 250.0
HOSTGAL_LOGMASS: 6.2273 +- 0.036
FILTERS: BNUVWX
SEARCH_PEAKMJD: 56820.6
NOBS: 119
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56806.5 X NULL 2703.96 483.145 18.92 0.194
OBS: 56808.6 X NULL 2436.69 433.145 19.033 0.193
OBS: 56812.5 X NULL 5623.41 642.24 18.125 0.124
OBS: 56813.5 X NULL 6014.51 648.129 18.052 0.117
OBS: 56815 X NULL 7454.18 734.614 17.819 0.107
OBS: 56816.6 X NULL 6522.29 720.87 17.964 0.12
OBS: 56816.7 X NULL 7950.6 827.474 17.749 0.113
OBS: 56817.3 X NULL 6729.77 954.545 17.93 0.154
OBS: 56819.5 X NULL 7523.15 997.788 17.809 0.144
OBS: 56820.6 X NULL 8248.98 782.551 17.709 0.103
OBS: 56822.8 X NULL 8248.98 1018.08 17.709 0.134
OBS: 56824.2 X NULL 7112.14 727.108 17.87 0.111
OBS: 56826.3 X NULL 6798.29 1083.23 17.919 0.173
OBS: 56827.6 X NULL 5749.1 635.414 18.101 0.12
OBS: 56828.8 X NULL 6292.16 915.657 18.003 0.158
OBS: 56830.6 X NULL 4483.32 565.713 18.371 0.137
OBS: 56831.3 X NULL 4070.05 832.202 18.476 0.222
OBS: 56832.7 X NULL 4242.29 675.961 18.431 0.173
OBS: 56836.3 X NULL 3019.95 481.196 18.8 0.173
OBS: 56840.2 X NULL 2335.61 511.98 19.079 0.238
OBS: 56844.5 X NULL 1397.01 438.763 19.637 0.341
OBS: 56806.5 N NULL 1544.54 391.209 19.528 0.275
OBS: 56808.6 N NULL 1479.11 344.664 19.575 0.253
OBS: 56812.5 N NULL 2481.99 411.479 19.013 0.18
OBS: 56815 N NULL 3277.93 452.863 18.711 0.15
OBS: 56816.6 N NULL 2860.22 468.917 18.859 0.178
OBS: 56820.6 N NULL 3407.22 461.31 18.669 0.147
OBS: 56822.8 N NULL 3577.67 701.868 18.616 0.213
OBS: 56824.2 N NULL 3664.38 486.002 18.59 0.144
OBS: 56826.3 N NULL 3363.57 833.351 18.683 0.269
OBS: 56828.7 N NULL 2436.69 677.77 19.033 0.302
OBS: 56830.6 N NULL 2169.7 393.679 19.159 0.197
OBS: 56836.3 N NULL 1365.21 358.361 19.662 0.285
OBS: 56844.5 N NULL 1029.91 342.439 19.968 0.361
OBS: 56804.8 W NULL 3206.27 862.3 18.735 0.292
OBS: 56806.5 W NULL 8053.78 853.048 17.735 0.115
OBS: 56808.6 W NULL 12223.6 1002 17.282 0.089
OBS: 56812.5 W NULL 25704 1751.89 16.475 0.074
OBS: 56813.5 W NULL 29295.4 1861.76 16.333 0.069
OBS: 56815 W NULL 31827.3 2022.67 16.243 0.069
OBS: 56816.6 W NULL 35908.7 2215.9 16.112 0.067
OBS: 56819.5 W NULL 34962.3 2093.1 16.141 0.065
OBS: 56820.5 W NULL 35026.8 2193.74 16.139 0.068
OBS: 56822.8 W NULL 30647.8 2060.62 16.284 0.073
OBS: 56824.2 W NULL 28787.2 1909.01 16.352 0.072
OBS: 56826.3 W NULL 22677.8 2318.45 16.611 0.111
OBS: 56828.8 W NULL 18862.5 1494.08 16.811 0.086
OBS: 56830.6 W NULL 18163.5 1338.34 16.852 0.08
OBS: 56832.6 W NULL 16703.2 1430.73 16.943 0.093
OBS: 56834.4 W NULL 14099.4 2571.23 17.127 0.198
OBS: 56835.3 W NULL 10083.2 872.978 17.491 0.094
OBS: 56835.3 W NULL 11587.8 917.855 17.34 0.086
OBS: 56836.3 W NULL 9691.7 901.565 17.534 0.101
OBS: 56844.5 W NULL 3505.9 678.102 18.638 0.21
OBS: 56854.2 W NULL 2493.45 424.862 19.008 0.185
OBS: 56856.7 W NULL 1903.71 391.003 19.301 0.223
OBS: 56860.5 W NULL 1564.59 373.229 19.514 0.259
OBS: 56864.5 W NULL 1509.38 382.304 19.553 0.275
OBS: 56868.4 W NULL 1668.78 388.863 19.444 0.253
OBS: 56804.8 U NULL 14467.7 1585.71 17.099 0.119
OBS: 56806.5 U NULL 25704 1893.94 16.475 0.08
OBS: 56808.6 U NULL 42228 2605.86 15.936 0.067
OBS: 56812.5 U NULL 111892 5358.94 14.878 0.052
OBS: 56815 U NULL 154312 6822.08 14.529 0.048
OBS: 56816.6 U NULL 170765 7392.2 14.419 0.047
OBS: 56816.4 U NULL 169512 6869.55 14.427 0.044
OBS: 56820.6 U NULL 178484 7726.34 14.371 0.047
OBS: 56822.8 U NULL 161436 7137.02 14.48 0.048
OBS: 56824.2 U NULL 153179 6772 14.537 0.048
OBS: 56826.3 U NULL 130978 6876.23 14.707 0.057
OBS: 56828.8 U NULL 111173 5529.29 14.885 0.054
OBS: 56830.6 U NULL 94710.9 4797.76 15.059 0.055
OBS: 56832.6 U NULL 81432.9 4725.16 15.223 0.063
OBS: 56836.3 U NULL 47730.9 2945.44 15.803 0.067
OBS: 56840.3 U NULL 27390.5 1589.34 16.406 0.063
OBS: 56844.5 U NULL 19301.9 1511.1 16.786 0.085
OBS: 56854.2 U NULL 8456.68 732.156 17.682 0.094
OBS: 56856.7 U NULL 7413.1 675.944 17.825 0.099
OBS: 56860.5 U NULL 6240.22 614.978 18.012 0.107
OBS: 56864.5 U NULL 5380.22 594.644 18.173 0.12
OBS: 56868.4 U NULL 5252.91 595.087 18.199 0.123
OBS: 56804.8 B NULL 6003.44 857.052 18.054 0.155
OBS: 56806.5 B NULL 14073.4 1062.89 17.129 0.082
OBS: 56808.6 B NULL 24076.9 1485.77 16.546 0.067
OBS: 56812.5 B NULL 64863.4 3166.3 15.47 0.053
OBS: 56815 B NULL 91285.1 4035.68 15.099 0.048
OBS: 56816.6 B NULL 103276 4565.8 14.965 0.048
OBS: 56820.6 B NULL 117274 4968.59 14.827 0.046
OBS: 56822.8 B NULL 117815 4991.53 14.822 0.046
OBS: 56824.2 B NULL 115452 4891.4 14.844 0.046
OBS: 56826.3 B NULL 107349 4943.63 14.923 0.05
OBS: 56828.8 B NULL 100462 4441.37 14.995 0.048
OBS: 56830.6 B NULL 93067.9 4114.5 15.078 0.048
OBS: 56832.6 B NULL 80537.8 3857.26 15.235 0.052
OBS: 56836.3 B NULL 60813.5 3080.62 15.54 0.055
OBS: 56844.5 B NULL 26742.4 1748.78 16.432 0.071
OBS: 56854.2 B NULL 11989.5 850.289 17.303 0.077
OBS: 56856.7 B NULL 9602.85 725.253 17.544 0.082
OBS: 56860.6 B NULL 8495.72 672.937 17.677 0.086
OBS: 56864.5 B NULL 7648.92 648.132 17.791 0.092
OBS: 56868.4 B NULL 6188.71 592.801 18.021 0.104
OBS: 56806.5 V NULL 14243 1600.43 17.116 0.122
OBS: 56808.6 V NULL 25234.8 1952.34 16.495 0.084
OBS: 56812.5 V NULL 65705.2 3933.59 15.456 0.065
OBS: 56815 V NULL 85980.5 4751.46 15.164 0.06
OBS: 56816.6 V NULL 97633.8 5485.36 15.026 0.061
OBS: 56820.6 V NULL 114288 6105.25 14.855 0.058
OBS: 56822.8 V NULL 109749 7176.85 14.899 0.071
OBS: 56824.2 V NULL 115771 6184.49 14.841 0.058
OBS: 56826.3 V NULL 109850 7992.87 14.898 0.079
OBS: 56828.7 V NULL 107053 7197.78 14.926 0.073
OBS: 56830.6 V NULL 105779 5748.14 14.939 0.059
OBS: 56836.3 V NULL 77054.9 4400.15 15.283 0.062
OBS: 56844.5 V NULL 51760.7 3241.79 15.715 0.068
OBS: 56854.2 V NULL 30903 2020.85 16.275 0.071
OBS: 56856.7 V NULL 28261.8 1874.17 16.372 0.072
OBS: 56860.6 V NULL 22782.4 1615.72 16.606 0.077
OBS: 56864.5 V NULL 19751.5 1546.3 16.761 0.085
OBS: 56868.4 V NULL 17234.6 1396.88 16.909 0.088
END:
