#The Keplercam BVr'i' passbands (detectorQE * filterTransmission *
#(mirrorRefl^2) )--normalized to have a peak value of 1--no atmospheric term applied 
nm    B band
 345   0.000
 350   0.005
 355   0.035
 360   0.116
 365   0.234
 370   0.360
 375   0.478
 380   0.581
 385   0.671
 390   0.748
 395   0.813
 400   0.866
 405   0.907
 410   0.941
 415   0.967
 420   0.986
 425   0.996
 430   1.000
 435   0.997
 440   0.989
 445   0.976
 450   0.951
 455   0.923
 460   0.884
 465   0.827
 470   0.744
 475   0.645
 480   0.542
 485   0.437
 490   0.342
 495   0.268
 500   0.212
 505   0.156
 510   0.106
 515   0.072
 520   0.046
 525   0.027
 530   0.016
 535   0.012
 540   0.010
 545   0.010
 550   0.012
 555   0.015
 560   0.017
 565   0.015
 570   0.011
 575   0.006
 580   0.002
 585   0.001
 590   0.000
nm    V band
 470   0.000
 475   0.013
 480   0.114
 485   0.341
 490   0.585
 495   0.767
 500   0.883
 505   0.950
 510   0.985
 515   0.999
 520   1.000
 525   0.991
 530   0.974
 535   0.951
 540   0.922
 545   0.888
 550   0.851
 555   0.808
 560   0.761
 565   0.709
 570   0.654
 575   0.594
 580   0.531
 585   0.468
 590   0.404
 595   0.343
 600   0.284
 605   0.231
 610   0.184
 615   0.143
 620   0.108
 625   0.080
 630   0.058
 635   0.041
 640   0.028
 645   0.019
 650   0.013
 655   0.009
 660   0.006
 665   0.003
 670   0.002
 675   0.001
 680   0.001
 685   0.000
nm    r' band
 525   0.000
 530   0.001
 535   0.013
 540   0.069
 545   0.290
 550   0.586
 555   0.692
 560   0.811
 565   0.904
 570   0.919
 575   0.912
 580   0.934
 585   0.973
 590   1.000
 595   0.998
 600   0.986
 605   0.983
 610   0.988
 615   0.980
 620   0.963
 625   0.956
 630   0.964
 635   0.969
 640   0.948
 645   0.906
 650   0.875
 655   0.870
 660   0.876
 665   0.872
 670   0.852
 675   0.836
 680   0.814
 685   0.736
 690   0.590
 695   0.446
 700   0.366
 705   0.354
 710   0.304
 715   0.119
 720   0.031
 725   0.010
 730   0.004
 735   0.001
 740   0.001
 745   0.000
nm    i' band
 630    0.000
 635    0.001
 640    0.001
 645    0.001
 650    0.001
 655    0.002
 660    0.004
 665    0.009
 670    0.021
 675    0.048
 680    0.106
 685    0.213
 690    0.367
 695    0.534
 700    0.681
 705    0.801
 710    0.898
 715    0.967
 720    0.999
 725    1.000
 730    0.985
 735    0.971
 740    0.965
 745    0.968
 750    0.974
 755    0.977
 760    0.974
 765    0.965
 770    0.953
 775    0.939
 780    0.926
 785    0.915
 790    0.903
 795    0.886
 800    0.847
 805    0.808
 810    0.754
 815    0.692
 820    0.626
 825    0.567
 830    0.523
 835    0.509
 840    0.545
 845    0.646
 850    0.639
 855    0.294
 860    0.091
 865    0.031
 870    0.012
 875    0.006
 880    0.003
 885    0.002
 890    0.001
 895    0.001
 900    0.001
 905    0.001
 910    0.000
