#Wavelength (nm)
300 0.003773881
300.125 0.013776616
300.344 0.027767639
300.5 0.02501053
300.71875 0.001637675
300.96875 0.02965092
301.1875 0.022386177
301.34375 0.016804336
301.5 -0.001765593
301.75 0.04392025
301.96875 0.03251898
302.15625 0.02687772
302.40625 0.014303784
302.625 0.020023191
302.8125 0.001398303
303.09375 0.033642673
303.28125 0.022202651
303.5625 0.003011412
303.8125 0.006957678
304.0625 0.036192233
304.25 0.027374216
304.53125 0.015976922
304.71875 0.032644635
305 0.035101039
305.1875 0.052991933
305.34375 0.022242088
305.5625 0.024556106
305.75 0.006398886
306 0.02618453
306.21875 0.021166732
306.4375 0.015902135
306.625 0.012993154
306.84375 0.027496776
307.09375 0.022517042
307.3125 0.012225494
307.53125 0.028636605
307.78125 0.023473046
308 0.039163366
308.25 0.02959629
308.4375 0.006074035
308.59375 0.012327008
308.8125 0.028456405
308.96875 0.036691659
309.15625 0.012665469
309.3125 0.014640676
309.46875 0.018121723
309.6875 0.024324974
309.84375 0.029071969
310.03125 0.0177312
310.25 0.021141721
310.40625 0.025705424
310.625 0.026223726
310.75 0.027253217
310.96875 0.021851371
311.125 0.019012936
311.28125 0.017198828
311.5 0.01344568
311.71875 0.016678201
311.84375 0.005673215
312.03125 0.008000717
312.21875 0.012289287
312.40625 0.017785862
312.59375 0.013005711
312.8125 0.011466141
312.96875 0.022937392
313.1875 0.00615833
313.3125 0.01790293
313.53125 0.015912448
313.6875 0.016832345
313.90625 0.023294179
314.0625 0.017516933
314.28125 0.017156822
314.40625 0.02206013
314.65625 0.025829471
314.84375 0.013669309
315 0.023558505
315.1875 0.027287973
315.34375 0.022651465
315.5625 0.009221179
315.71875 0.009496452
315.90625 0.024552813
316.125 0.021874372
316.28125 0.017036718
316.46875 0.012154111
316.6875 0.01149219
316.875 0.010737508
317.03125 0.014902212
317.25 0.016623352
317.40625 0.016516552
317.59375 0.012337566
317.8125 0.014891331
318 0.019083947
318.15625 0.018232981
318.375 0.011750498
318.5625 0.021443996
318.75 0.014624092
318.90625 0.015791177
319.125 0.011828048
319.28125 0.01497512
319.5 0.013282162
319.6875 0.014927541
319.84375 0.014760797
320.0625 0.021660244
320.21875 0.014301805
320.40625 0.016025606
320.5625 0.013970365
320.78125 0.017373283
320.96875 0.011962019
321.125 0.012551079
321.34375 0.014020997
321.5 0.013773553
321.6875 0.014716239
321.90625 0.009620398
322.0625 0.01680564
322.25 0.015108122
322.40625 0.013958257
322.625 0.016388129
322.8125 0.013729524
322.96875 0.013008056
323.1875 0.013617009
323.375 0.016924885
323.53125 0.010698259
323.75 0.015763819
323.9375 0.015137482
324.125 0.015995897
324.34375 0.013693006
324.5 0.01419027
324.6875 0.015665779
324.90625 0.014775789
325.0625 0.013641016
325.25 0.014128374
325.46875 0.014024999
325.625 0.012923126
325.8125 0.014339072
325.96875 0.013651239
326.1875 0.014147191
326.375 0.013360218
326.53125 0.014744462
326.75 0.014221795
326.9375 0.013830383
327.09375 0.014353446
327.3125 0.012868209
327.5 0.013374824
327.65625 0.014559262
327.84375 0.012516894
328.0625 0.013901886
328.28125 0.014071762
328.4375 0.012342881
328.65625 0.014827412
328.84375 0.012712383
329 0.014409665
329.25 0.013441392
329.40625 0.014509651
329.625 0.013165908
329.8125 0.014088778
329.96875 0.013324986
330.1875 0.013824157
330.34375 0.013211159
330.53125 0.014163279
330.75 0.013259328
330.90625 0.013949363
331.09375 0.014052381
331.3125 0.013339477
331.53125 0.013698705
331.65625 0.013297474
331.90625 0.013423809
332.03125 0.013222779
332.25 0.014134864
332.46875 0.013772249
332.59375 0.013664439
332.8125 0.012665245
333 0.013896616
333.21875 0.01385129
333.375 0.013492666
333.5625 0.012778102
333.78125 0.013115121
333.9375 0.012501875
334.125 0.013261952
334.34375 0.013125577
334.46875 0.013202549
334.6875 0.013107297
334.875 0.013147491
335.03125 0.013811453
335.25 0.01331088
335.40625 0.012527718
335.59375 0.013584328
335.8125 0.0132149
336.03125 0.013833733
336.15625 0.012380009
336.375 0.013349065
336.53125 0.013069429
336.75 0.014328554
336.9375 0.013168601
337.09375 0.013114831
337.28125 0.012886616
337.5 0.013324869
337.65625 0.013509322
337.84375 0.012963978
338.0625 0.0132664
338.28125 0.013321007
338.40625 0.013246356
338.625 0.012511931
338.84375 0.013024925
338.96875 0.012940021
339.1875 0.012982679
339.40625 0.012847363
339.59375 0.013034557
339.75 0.012789686
339.96875 0.01284266
340.15625 0.012612075
340.375 0.013488169
340.53125 0.012518352
340.71875 0.012957471
340.9375 0.013014296
341.09375 0.012532188
341.28125 0.012981193
341.5 0.012893651
341.65625 0.013214339
341.84375 0.013930663
342.0625 0.013185026
342.25 0.012955223
342.40625 0.013752444
342.625 0.012912075
342.8125 0.012941452
342.96875 0.01302378
343.1875 0.013200382
343.40625 0.013194422
343.53125 0.012969436
343.75 0.013413856
343.9375 0.013776479
344.15625 0.013362291
344.3125 0.013548658
344.53125 0.013243177
344.71875 0.013299992
344.9375 0.013786626
345.0625 0.013789335
345.28125 0.013599624
345.5 0.013233276
345.75 0.013295978
345.96875 0.014119938
346.1875 0.01313146
346.4375 0.013395248
346.6875 0.01378261
346.9375 0.013909304
347.1875 0.01337159
347.4375 0.013553885
347.59375 0.013408157
347.8125 0.013540246
348.15625 0.013725158
348.3125 0.013287024
348.53125 0.013114351
348.71875 0.013524438
348.96875 0.013807645
349.1875 0.014089347
349.375 0.013548808
349.625 0.013775241
349.78125 0.013258346
350 0.013607026
350.1875 0.01340732
350.40625 0.013538972
350.5625 0.01346059
350.78125 0.014028184
350.96875 0.013980966
351.1875 0.013659613
351.3125 0.013945993
351.53125 0.013787177
351.75 0.013111713
351.875 0.013712733
352.09375 0.013239338
352.25 0.013345843
352.46875 0.013706978
352.65625 0.013521237
352.8125 0.013742503
353 0.013859187
353.21875 0.013440485
353.4375 0.013835079
353.5625 0.013847485
353.78125 0.0137421
353.96875 0.013570822
354.125 0.014317564
354.34375 0.013460845
354.53125 0.013967433
354.6875 0.013545102
354.90625 0.013403933
355.0625 0.013880091
355.28125 0.013957081
355.46875 0.013286268
355.625 0.013827036
355.84375 0.014034809
356.03125 0.013631044
356.25 0.014162889
356.4375 0.013541839
356.6875 0.013643762
356.90625 0.014011497
357.125 0.014233235
357.3125 0.013941432
357.5 0.013737583
357.65625 0.013861685
357.90625 0.014321231
358.1875 0.013787621
