CID IDSURVEY zHD zHDERR zCMB zCMBERR zHEL zHELERR m_b_corr m_b_corr_err_DIAG MU_SH0ES MU_SH0ES_ERR_DIAG CEPH_DIST IS_CALIBRATOR USED_IN_SH0ES_HF c cERR x1 x1ERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 RA DEC HOST_RA HOST_DEC HOST_ANGSEP VPEC VPECERR MWEBV HOST_LOGMASS HOST_LOGMASS_ERR PKMJD PKMJDERR NDOF FITCHI2 FITPROB m_b_corr_err_RAW m_b_corr_err_VPEC biasCor_m_b biasCorErr_m_b biasCor_m_b_COVSCALE biasCor_m_b_COVADD
2011fe 51 0.00122 0.00084 0.00122 2e-05 0.00082 2e-05 9.74571 1.51621 28.9987 1.51645 29.177 1 0 -0.1076 0.04008 -0.548188 0.13373 9.58436 0.0327221 2.63181 0.0793177 0.00011378 -0.00052525 -0.00272765 210.774 54.2737 -999 -999 -9 0 250 0.00758935 10.677 -9 55815 0.1071 36 26.8859 0.86447 0.0991 1.496 0.0381 0.005 1 0.003
2011fe 56 0.00122 0.00084 0.00122 2e-05 0.00082 2e-05 9.80286 1.51723 29.0559 1.51747 29.177 1 0 -0.032895 0.038463 -0.380481 0.0861 9.78448 0.0352442 2.1888 0.0710511 -0.000443845 -0.00150198 -0.00220084 210.774 54.2737 -999 -999 -9 0 250 0.00758935 10.677 0 55815.2 0.0579 101 88.3064 0.81222 0.0971 1.496 -0.0252 0.003 1 0.004
2012cg 51 0.00256 0.00084 0.00256 2e-05 0.00144 2e-05 11.4703 0.781906 30.7233 0.782372 30.8433 1 0 0.10073 0.018231 0.49196 0.023545 11.8161 0.0237119 0.33695 0.00735879 -6.06025e-05 9.35054e-06 -0.000110842 186.803 9.4203 -999 -999 -9 0 250 0.0177724 9.633 0.002 56082.4 0.0278 165 233.5 0.000358347 0.0399 0.7134 0.0545 0.019 1 0.036
2012cg 56 0.00256 0.00084 0.00256 2e-05 0.00144 2e-05 11.4919 0.798612 30.7449 0.799068 30.8433 1 0 0.12247 0.03903 0.71261 0.083554 11.8801 0.0359611 0.31765 0.0105211 0.000222656 -0.000136637 -0.000344022 186.803 9.4203 -999 -999 -9 0 250 0.0177724 9.633 0.004 56082.4 0.0667 55 100.122 0.000193186 0.0931 0.7134 0.0622 0.028 1 0.04
1994DRichmond 50 0.00299 0.00084 0.00299 4e-05 0.00187 4e-05 11.5227 0.880798 30.7757 0.881212 -9 0 0 -0.111684 0.026044 -1.61803 0.049543 11.5334 0.0322548 0.43715 0.0129866 -9.88782e-05 -3.53658e-05 -0.000291408 188.51 7.7016 -999 -999 -9 0 250 0.0191036 8.46247 -9 49432.6 0.0522 146 109.839 0.98874 0.0567 0.611 0.065 0.009 1 0.006
1981B 50 0.00317 0.00084 0.0035 1e-05 0.00236 1e-05 11.5416 0.613941 30.7946 0.614535 30.8338 1 0 -0.005137 0.03061 -0.445048 0.16526 11.6644 0.0335715 0.38748 0.0119811 0.000163537 -0.000145198 -0.000305876 188.623 2.1998 -999 -999 -9 97.8762 250 0.0157149 9.686 -9 44672.6 0.2973 41 43.226 0.37642 0.0732 0.5763 0.0206 0.007 1 0.013
2013aa 56 0.00331 0.00085 0.00478 0.00015 0.00411 0.00015 11.2074 0.59407 30.4604 0.594683 30.5454 1 0 -0.104394 0.054067 0.51292 0.15225 10.8911 0.10563 0.78986 0.0768433 0.00167787 -0.00136015 -0.00311121 218.141 -44.2244 -999 -999 -9 440.866 250 0.14605 10.53 0 56343.8 0.158 31 27.5263 0.6455 0.1104 0.5586 0.0298 0.003 1 0.003
2013aa 5 0.00331 0.00085 0.00478 0.00015 0.00411 0.00015 11.2998 0.579622 30.5528 0.580251 30.5454 1 0 -0.157707 0.03608 0.63346 0.13866 10.8438 0.10031 0.82505 0.0762215 0.000245825 -3.60292e-06 -0.00231699 218.141 -44.2244 -999 -999 -9 440.866 250 0.14605 10.53 -9 56348.8 0.119 56 35.0505 0.98728 0.062 0.5586 0.0727 0.007 1 0.003
2017cbv 5 0.00331 0.00085 0.00478 0.00015 0.00411 0.00015 11.1483 0.577815 30.4013 0.578445 30.5454 1 0 -0.125638 0.032337 0.61655 0.052564 10.7729 0.0944437 0.88076 0.0766133 -0.000340495 0.00052152 -0.00206456 218.143 -44.1341 -999 -999 -9 440.866 250 0.14511 10.449 -9 57840.6 0.0381 94 69.7345 0.9713 0.058 0.5586 0.0516 0.004 1 0.003
2017cbv 18 0.00331 0.00085 0.00478 0.00015 0.00411 0.00015 11.2577 0.577916 30.5107 0.578546 30.5454 1 0 -0.096025 0.035108 0.81895 0.065942 10.914 0.0990172 0.77342 0.0705343 -0.00018429 0.000187787 -0.00208332 218.143 -44.1341 -999 -999 -9 440.866 250 0.14511 10.449 -9 57840.7 0.05 92 45.169 0.99999 0.0607 0.5586 0.0216 0.003 1 0.003
2001el 50 0.00333 0.00084 0.00357 1e-05 0.00379 1e-05 12.2481 0.590389 31.5011 0.591006 31.2859 1 0 0.074105 0.025318 -0.131083 0.026693 12.4717 0.0305106 0.18422 0.00517671 -0.000115412 1.38906e-05 -0.000102774 56.1275 -44.6398 -999 -999 -9 71.5597 250 0.012219 11.28 -9 52183 0.0329 97 493.823 0 0.0584 0.5487 -0.0773 0.005 1 0.015
2011by 51 0.00349 0.00084 0.00369 2e-05 0.00313 2e-05 12.5403 0.55206 31.7933 0.55272 31.6336 1 0 0.011283 0.018909 -0.334036 0.044392 12.627 0.0234355 0.15967 0.00344642 -3.73833e-05 -2.98895e-05 -5.50824e-05 178.94 55.3256 -999 -999 -9 61.7743 250 0.0120014 10.417 0.002 55690.9 0.0344 79 85.1227 0.29882 0.0423 0.5236 -0.0499 0.003 1 0.007
1998aq 50 0.00349 0.00084 0.00369 1e-05 0.00313 1e-05 12.2437 0.544824 31.4967 0.545492 31.7216 1 0 -0.118814 0.025128 -0.45159 0.036414 12.0503 0.0298815 0.27156 0.00747395 -9.3684e-05 6.31794e-06 -0.000154448 179.108 55.1287 -999 -999 -9 61.7743 250 0.0121395 10.199 -9 50931.4 0.0309 88 116.844 0.021547 0.0567 0.5236 0.055 0.005 1 0.003
1990N 50 0.00359 0.00084 0.00462 2e-05 0.00355 2e-05 12.4439 0.550332 31.6969 0.550993 31.8115 1 0 -0.00619 0.025918 0.62892 0.066107 12.4026 0.0336097 0.19631 0.00607695 7.88015e-05 -7.6061e-05 -0.00013076 190.736 13.2565 -999 -999 -9 308.577 250 0.0222809 9.802 -9 48083 0.0418 41 52.1451 0.11385 0.0568 0.509 0.0183 0.007 1 0.012
2021pit 56 0.00384 0.00084 0.00366 1e-05 0.00388 1e-05 11.7469 0.565861 30.9999 0.566505 31.2859 1 0 0.072389 0.042032 -0.042209 0.12206 12.0868 0.0383302 0.2626 0.00927071 0.000746058 -0.000415684 -0.000321434 56.1257 -44.6325 -999 -999 -9 -55.3501 250 0.012255 -9 -9 59385.6 0.0847 27 17.907 0.90634 0.1015 0.4759 0.0574 0.013 1 0.03
2005df 50 0.00407 0.00084 0.00435 1e-05 0.00435 1e-05 12.1403 0.475638 31.3933 0.476404 31.4903 1 0 -0.059471 0.027315 -0.103725 0.079745 12.0155 0.0362388 0.28042 0.00935957 -0.000114256 -0.000131165 -0.000208601 64.4077 -62.7693 -999 -999 -9 86.1777 250 0.025672 10.375 1 53599.2 0.0914 26 9.89726 0.99815 0.062 0.4491 -0.0086 0.002 1 0.004
